time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=14, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=18, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=24, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=28, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=34, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=38, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=44, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=48, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=54, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=13, tm_sec=58, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=4, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=8, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=14, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=18, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=24, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=28, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=34, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=38, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=44, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=48, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=54, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=14, tm_sec=58, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=3, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=8, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=13, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=17, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=24, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=28, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=34, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=38, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=44, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=48, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=54, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=15, tm_sec=58, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=3, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=8, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=13, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=18, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=24, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=28, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=33, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=38, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=43, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=47, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=54, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=16, tm_sec=58, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=17, tm_sec=4, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=17, tm_sec=8, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=17, tm_sec=14, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=17, tm_sec=18, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=17, tm_sec=24, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
